FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
12533,Kwale,39.5536757,-4.431446627,285.02,315800,2535.752792,14.99,-9.9,-0.41,0.59,0.12,0.03,5.72,0.27,0.079939505,0.03,0.57,0.27,0.169896112
12534,Kwale,39.55364307,-4.431624122,285.25,315825,2532.649381,13.74,-7.67,-0.32,0.59,0.13,0.03,5.11,0.24,0.090811899,0.03,0.51,0.24,0.169896112
12535,Kwale,39.55360997,-4.431798023,285.5,315850,2529.899216,11.95,-6.05,-0.25,0.59,0.11,0.03,4.34,0.21,0.076490262,0.03,0.43,0.21,0.169896112
12536,Kwale,39.55357348,-4.431971077,285.75,315875,2527.970594,10.93,-5,-0.21,0.59,0.08,0.02,3.76,0.18,0.052371538,0.02,0.38,0.18,0.169896112
12537,Kwale,39.55353242,-4.432148521,285.97,315900,2526.801021,9.53,-3.84,-0.16,0.59,0.04,0.01,3.18,0.15,0.028016868,0.01,0.32,0.15,0.169896112
12538,Kwale,39.55348537,-4.432327299,286.17,315925,2526.611135,8.88,-2.87,-0.12,0.59,0.01,0,3.03,0.14,0.00675853,0,0.3,0.14,0.169896112
12539,Kwale,39.55343513,-4.432501243,286.4,315950,2526.965436,8.9,-1.89,-0.08,0.59,0,0,2.73,0.13,0,0,0.27,0.13,0.169896112
12540,Kwale,39.55338207,-4.432675651,286.62,315975,2527.928308,8.59,-1.45,-0.06,0.59,-0.02,0,2.4,0.11,-0.013373096,0,0.24,0.11,0.169896112
12541,Kwale,39.5533223,-4.432850217,286.83,316000,2529.676996,8.47,-1.64,-0.07,0.59,-0.02,0.01,2.18,0.1,-0.013866551,0.01,0.22,0.1,0.169896112
12542,Kwale,39.5532605,-4.433017283,287.07,316025,2531.59972,8.2,-1.5,-0.06,0.59,-0.03,0.01,2.02,0.1,-0.020687674,0.01,0.2,0.1,0.169896112
12543,Kwale,39.55320116,-4.433174365,287.36,316050,2533.703226,8.11,-1.09,-0.05,0.59,-0.02,0.01,1.98,0.09,-0.013308488,0.01,0.2,0.09,0.169896112
12544,Kwale,39.55313934,-4.433330538,287.66,316075,2536.039454,7.98,-0.44,-0.02,0.59,-0.01,0,1.95,0.09,-0.006562097,0,0.2,0.09,0.169896112
12545,Kwale,39.55307928,-4.433482186,287.97,316100,2538.074444,7.52,-0.32,-0.01,0.59,-0.01,0,1.9,0.09,-0.006648796,0,0.19,0.09,0.169896112
12546,Kwale,39.55302092,-4.43363081,288.3,316125,2540.039532,7.35,-0.31,-0.01,0.59,-0.01,0,1.86,0.09,-0.006981256,0,0.19,0.09,0.169896112
12547,Kwale,39.55296138,-4.433778927,288.64,316150,2542.372296,7.49,-0.3,-0.01,0.59,0,0,1.85,0.09,0,0,0.18,0.09,0.169896112
12548,Kwale,39.55290041,-4.433929454,288.96,316175,2544.919697,7.35,-0.29,-0.01,0.59,0,0,1.81,0.09,0,0,0.18,0.09,0.169896112
12549,Kwale,39.55283596,-4.434084392,289.25,316200,2547.621963,7.2,-0.28,-0.01,0.59,0.01,0,1.78,0.08,0.006568804,0,0.18,0.08,0.169896112
12550,Kwale,39.55277398,-4.434233323,289.57,316225,2549.886648,7.06,-0.27,-0.01,0.59,0.02,0.01,1.76,0.08,0.013164819,0.01,0.18,0.08,0.169896112
12551,Kwale,39.55271072,-4.434381293,289.89,316250,2552.571668,7.56,-0.26,-0.01,0.59,0.02,0.01,1.83,0.09,0.013288016,0.01,0.18,0.09,0.169896112
12552,Kwale,39.5526414,-4.434536396,290.18,316275,2555.485895,8.17,-0.25,-0.01,0.59,0.03,0.01,1.91,0.09,0.019614197,0.01,0.19,0.09,0.169896112
