Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Kilifi,Black Marlin,Istiompax indica,1993/1994,1994,8,765.7,1,7,1.1,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1993/1994,1994,2,0,2,7,0.3,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1994/1995,1995,19,2157,1,7,2.7,,
Watamu,Black Marlin,Istiompax indica,1994/1995,1995,57,5680,11,7,8.1,,
Shimoni,Black Marlin,Istiompax indica,1994/1995,1995,5,978,0,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1994/1995,1995,10,713,0,7,1.4,,
Kilifi,Black Marlin,Istiompax indica,1994/1995,1995,9,499,4,7,1.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1994/1995,1995,1,99,0,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1995/1996,1996,28,2510,4,7,4.0,,
Watamu,Black Marlin,Istiompax indica,1995/1996,1996,57,3788,25,7,8.1,,
Shimoni,Black Marlin,Istiompax indica,1995/1996,1996,18,1666,13,7,2.6,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1995/1996,1996,13,1395,0,7,1.9,,
Kilifi,Black Marlin,Istiompax indica,1995/1996,1996,2,118,0,7,0.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1995/1996,1996,0,0,0,7,0.0,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1996/1997,1997,13,1190,4,7,1.9,,
Watamu,Black Marlin,Istiompax indica,1996/1997,1997,45,4526,12,7,6.4,,
Shimoni,Black Marlin,Istiompax indica,1996/1997,1997,18,1418,10,7,2.6,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1996/1997,1997,6,410,0,7,0.9,,
Kilifi,Black Marlin,Istiompax indica,1996/1997,1997,2,202,1,7,0.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1996/1997,1997,1,60,0,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1997/1998,1998,41,2924.6,12,7,5.9,,
Watamu,Black Marlin,Istiompax indica,1997/1998,1998,39,2365,21,7,5.6,,
Shimoni,Black Marlin,Istiompax indica,1997/1998,1998,5,449.5,4,7,0.7,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1997/1998,1998,3,256.5,0,7,0.4,,
Kilifi,Black Marlin,Istiompax indica,1997/1998,1998,7,408.4,2,7,1.0,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1997/1998,1998,1,0,0,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1998/1999,1999,33,1863,12,7,4.7,,
Watamu,Black Marlin,Istiompax indica,1998/1999,1999,69,3320,40,7,9.9,,
Shimoni,Black Marlin,Istiompax indica,1998/1999,1999,10,655,8,7,1.4,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1998/1999,1999,6,505,0,7,0.9,,
Kilifi,Black Marlin,Istiompax indica,1998/1999,1999,2,63,1,7,0.3,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1998/1999,1999,1,60,1,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,1999/2000,2000,33,4946.2,0,7,4.7,,
Watamu,Black Marlin,Istiompax indica,1999/2000,2000,60,3142,27,7,8.6,,
Shimoni,Black Marlin,Istiompax indica,1999/2000,2000,8,426,6,7,1.1,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,1999/2000,2000,4,352,1,7,0.6,,
Kilifi,Black Marlin,Istiompax indica,1999/2000,2000,4,276,1,7,0.6,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,1999/2000,2000,1,60,1,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2000/2001,2001,72,5540,34,7,10.3,,
Watamu,Black Marlin,Istiompax indica,2000/2001,2001,56,4285,30,7,8.0,,
Shimoni,Black Marlin,Istiompax indica,2000/2001,2001,7,1018,0,7,1.0,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2000/2001,2001,3,217,0,7,0.4,,
Kilifi,Black Marlin,Istiompax indica,2000/2001,2001,0,0,0,7,0.0,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2000/2001,2001,1,?,1,7,0.1,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2001/2002,2002,20,1912,8,7,2.9,,
Watamu,Black Marlin,Istiompax indica,2001/2002,2002,22,1190,13,7,3.1,,
Shimoni,Black Marlin,Istiompax indica,2001/2002,2002,3,119,1,7,0.4,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2001/2002,2002,9,911,0,7,1.3,,
Kilifi,Black Marlin,Istiompax indica,2001/2002,2002,1,0,1,7,0.1,,
