Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2010/2011,2011,127,701,0,7,18.1,,
Kilifi,Dorado,Coryphaena hippurus,2010/2011,2011,98,567,0,7,14.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2010/2011,2011,96,402,0,7,13.7,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2011/2012,2012,476,2023,0,7,68.0,,
Watamu,Dorado,Coryphaena hippurus,2011/2012,2012,288,1378,0,7,41.1,,
Shimoni,Dorado,Coryphaena hippurus,2011/2012,2012,378,2194,0,7,54.0,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2011/2012,2012,82,464,0,7,11.7,,
Kilifi,Dorado,Coryphaena hippurus,2011/2012,2012,71,279,0,7,10.1,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2011/2012,2012,101,426,0,7,14.4,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2012/2013,2013,595,2210,0,7,85.0,,
Watamu,Dorado,Coryphaena hippurus,2012/2013,2013,355,1450,0,7,50.7,,
Shimoni,Dorado,Coryphaena hippurus,2012/2013,2013,314,1476,0,7,44.9,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2012/2013,2013,35,188,0,7,5.0,,
Kilifi,Dorado,Coryphaena hippurus,2012/2013,2013,105,353.3,0,7,15.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2012/2013,2013,16,89,0,7,2.3,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2013/2014,2014,384,1723.5,0,7,54.9,,
Watamu,Dorado,Coryphaena hippurus,2013/2014,2014,299,996,0,7,42.7,,
Shimoni,Dorado,Coryphaena hippurus,2013/2014,2014,202,1292,0,7,28.9,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2013/2014,2014,109,252,0,7,15.6,,
Kilifi,Dorado,Coryphaena hippurus,2013/2014,2014,77,304,0,7,11.0,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2013/2014,2014,24,125,0,7,3.4,,
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2014/2015,2015,0,0,0,7,0.0,,
Watamu,Dorado,Coryphaena hippurus,2014/2015,2015,78,403,0,7,11.1,,
Shimoni,Dorado,Coryphaena hippurus,2014/2015,2015,58,535,0,7,8.3,,
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2014/2015,2015,122,0,0,7,17.4,,
Kilifi,Dorado,Coryphaena hippurus,2014/2015,2015,53,243,0,7,7.6,,
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2014/2015,2015,22,109,0,7,3.1,,
Location,Dorado,Species,Season,Year,Boated catch,Weight_Kg,Tagged & Release,Hours,CPUE,,
Malindi & Ngomeni,Fish type,Caranx ignobilis,1990/1991,1991,51,887,0,7,7.3,,
Watamu,Giant Trevally,Caranx ignobilis,1990/1991,1991,199,3259,0,7,28.4,,
Shimoni,Giant Trevally,Caranx ignobilis,1990/1991,1991,18,119,0,7,2.6,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1990/1991,1991,10,202,0,7,1.4,,
Kilifi,Giant Trevally,Caranx ignobilis,1990/1991,1991,2,34,0,7,0.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1990/1991,1991,1,22,0,7,0.1,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1991/1992,1992,44,167.2,0,7,6.3,,
Watamu,Giant Trevally,Caranx ignobilis,1991/1992,1992,57,1250,0,7,8.1,,
Shimoni,Giant Trevally,Caranx ignobilis,1991/1992,1992,16,194,0,7,2.3,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1991/1992,1992,4,56,0,7,0.6,,
Kilifi,Giant Trevally,Caranx ignobilis,1991/1992,1992,8,52,0,7,1.1,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1991/1992,1992,21,393,0,7,3.0,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1992/1993,1993,47,597.4,0,7,6.7,,
Watamu,Giant Trevally,Caranx ignobilis,1992/1993,1993,101,1658,0,7,14.4,,
Shimoni,Giant Trevally,Caranx ignobilis,1992/1993,1993,34,172,0,7,4.9,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1992/1993,1993,14,148.5,0,7,2.0,,
Kilifi,Giant Trevally,Caranx ignobilis,1992/1993,1993,2,19,0,7,0.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1992/1993,1993,13,2315,0,7,1.9,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1993/1994,1994,55,1151,0,7,7.9,,
Watamu,Giant Trevally,Caranx ignobilis,1993/1994,1994,167,2721,0,7,23.9,,
Shimoni,Giant Trevally,Caranx ignobilis,1993/1994,1994,72,673.9,0,7,10.3,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1993/1994,1994,29,289.1,0,7,4.1,,
Kilifi,Giant Trevally,Caranx ignobilis,1993/1994,1994,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1993/1994,1994,6,133,0,7,0.9,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1994/1995,1995,35,535,0,7,5.0,,
Watamu,Giant Trevally,Caranx ignobilis,1994/1995,1995,163,2941,1,7,23.3,,
Shimoni,Giant Trevally,Caranx ignobilis,1994/1995,1995,43,430,0,7,6.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1994/1995,1995,28,251,0,7,4.0,,
Kilifi,Giant Trevally,Caranx ignobilis,1994/1995,1995,9,80,0,7,1.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1994/1995,1995,1,27,0,7,0.1,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1995/1996,1996,37,551,0,7,5.3,,
Watamu,Giant Trevally,Caranx ignobilis,1995/1996,1996,132,1729,0,7,18.9,,
Shimoni,Giant Trevally,Caranx ignobilis,1995/1996,1996,63,910,0,7,9.0,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1995/1996,1996,43,498,0,7,6.1,,
Kilifi,Giant Trevally,Caranx ignobilis,1995/1996,1996,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1995/1996,1996,17,144,0,7,2.4,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1996/1997,1997,56,853,0,7,8.0,,
Watamu,Giant Trevally,Caranx ignobilis,1996/1997,1997,136,2213,7,7,19.4,,
Shimoni,Giant Trevally,Caranx ignobilis,1996/1997,1997,30,559,0,7,4.3,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1996/1997,1997,17,197,0,7,2.4,,
Kilifi,Giant Trevally,Caranx ignobilis,1996/1997,1997,1,15,0,7,0.1,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1996/1997,1997,12,210,0,7,1.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1997/1998,1998,32,560.9,0,7,4.6,,
Watamu,Giant Trevally,Caranx ignobilis,1997/1998,1998,210,2597,65,7,30.0,,
Shimoni,Giant Trevally,Caranx ignobilis,1997/1998,1998,40,528.1,0,7,5.7,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1997/1998,1998,11,237.8,0,7,1.6,,
Kilifi,Giant Trevally,Caranx ignobilis,1997/1998,1998,3,36.7,0,7,0.4,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1997/1998,1998,9,84,3,7,1.3,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1998/1999,1999,324,5238,73,7,46.3,,
Watamu,Giant Trevally,Caranx ignobilis,1998/1999,1999,235,2422,109,7,33.6,,
Shimoni,Giant Trevally,Caranx ignobilis,1998/1999,1999,50,603,0,7,7.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1998/1999,1999,33,415,0,7,4.7,,
Kilifi,Giant Trevally,Caranx ignobilis,1998/1999,1999,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1998/1999,1999,8,114,0,7,1.1,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1999/2000,2000,78,1768.8,15,7,11.1,,
Watamu,Giant Trevally,Caranx ignobilis,1999/2000,2000,53,552,0,7,7.6,,
Shimoni,Giant Trevally,Caranx ignobilis,1999/2000,2000,18,128,0,7,2.6,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1999/2000,2000,45,213,0,7,6.4,,
Kilifi,Giant Trevally,Caranx ignobilis,1999/2000,2000,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1999/2000,2000,0,0,0,7,0.0,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2000/2001,2001,53,947,6,7,7.6,,
Watamu,Giant Trevally,Caranx ignobilis,2000/2001,2001,33,309,21,7,4.7,,
Shimoni,Giant Trevally,Caranx ignobilis,2000/2001,2001,27,163,0,7,3.9,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2000/2001,2001,17,72,0,7,2.4,,
Kilifi,Giant Trevally,Caranx ignobilis,2000/2001,2001,2,8,0,7,0.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2000/2001,2001,5,28,0,7,0.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2001/2002,2002,72,1362,18,7,10.3,,
Watamu,Giant Trevally,Caranx ignobilis,2001/2002,2002,73,367,54,7,10.4,,
Shimoni,Giant Trevally,Caranx ignobilis,2001/2002,2002,32,258,0,7,4.6,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2001/2002,2002,18,150,0,7,2.6,,
Kilifi,Giant Trevally,Caranx ignobilis,2001/2002,2002,3,22,0,7,0.4,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2001/2002,2002,5,77,0,7,0.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2002/2003,2003,144,2459,98,7,20.6,,
Watamu,Giant Trevally,Caranx ignobilis,2002/2003,2003,179,3368,137,7,25.6,,
Shimoni,Giant Trevally,Caranx ignobilis,2002/2003,2003,22,97,0,7,3.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2002/2003,2003,46,372,0,7,6.6,,
Kilifi,Giant Trevally,Caranx ignobilis,2002/2003,2003,2,12,0,7,0.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2002/2003,2003,7,73,0,7,1.0,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2003/2004,2004,208,4190,110,7,29.7,,
Watamu,Giant Trevally,Caranx ignobilis,2003/2004,2004,242,5573.5,190,7,34.6,,
Shimoni,Giant Trevally,Caranx ignobilis,2003/2004,2004,10,133,0,7,1.4,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2003/2004,2004,14,148.3,0,7,2.0,,
Kilifi,Giant Trevally,Caranx ignobilis,2003/2004,2004,4,25,0,7,0.6,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2003/2004,2004,3,75,0,7,0.4,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2004/2005,2005,461,10306.2,342,7,65.9,,
Watamu,Giant Trevally,Caranx ignobilis,2004/2005,2005,634,15708.5,523,7,90.6,,
Shimoni,Giant Trevally,Caranx ignobilis,2004/2005,2005,3,12,0,7,0.4,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2004/2005,2005,29,261,1,7,4.1,,
Kilifi,Giant Trevally,Caranx ignobilis,2004/2005,2005,40,376,0,7,5.7,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2004/2005,2005,27,180,0,7,3.9,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2005/2006,2006,33,659,22,7,4.7,,
Watamu,Giant Trevally,Caranx ignobilis,2005/2006,2006,161,3609.5,121,7,23.0,,
Shimoni,Giant Trevally,Caranx ignobilis,2005/2006,2006,10,138.1,0,7,1.4,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2005/2006,2006,47,417,0,7,6.7,,
Kilifi,Giant Trevally,Caranx ignobilis,2005/2006,2006,4,0,3,7,0.6,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2005/2006,2006,20,83,0,7,2.9,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2006/2007,2007,323,7289.2,244,7,46.1,,
Watamu,Giant Trevally,Caranx ignobilis,2006/2007,2007,301,6429.5,236,7,43.0,,
Shimoni,Giant Trevally,Caranx ignobilis,2006/2007,2007,6,39.6,0,7,0.9,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2006/2007,2007,22,320.3,0,7,3.1,,
Kilifi,Giant Trevally,Caranx ignobilis,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2006/2007,2007,19,154,0,7,2.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2007/2008,2008,96,2141,68,7,13.7,,
Watamu,Giant Trevally,Caranx ignobilis,2007/2008,2008,134,2681,103,7,19.1,,
Shimoni,Giant Trevally,Caranx ignobilis,2007/2008,2008,1,7.3,0,7,0.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2007/2008,2008,24,255,0,7,3.4,,
Kilifi,Giant Trevally,Caranx ignobilis,2007/2008,2008,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2007/2008,2008,10,74,0,7,1.4,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2008/2009,2009,76,1411.3,52,7,10.9,,
Watamu,Giant Trevally,Caranx ignobilis,2008/2009,2009,91,1178,65,7,13.0,,
Shimoni,Giant Trevally,Caranx ignobilis,2008/2009,2009,1,6,0,7,0.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2008/2009,2009,6,180,0,7,0.9,,
Kilifi,Giant Trevally,Caranx ignobilis,2008/2009,2009,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2008/2009,2009,18,0,0,7,2.6,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2009/2010,2010,141,2011,42,7,20.1,,
Watamu,Giant Trevally,Caranx ignobilis,2009/2010,2010,91,1178,65,7,13.0,,
Shimoni,Giant Trevally,Caranx ignobilis,2009/2010,2010,0,0,0,7,0.0,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2009/2010,2010,4,36,0,7,0.6,,
Kilifi,Giant Trevally,Caranx ignobilis,2009/2010,2010,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2009/2010,2010,5,60,0,7,0.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2010/2011,2011,141,2011,42,7,20.1,,
Watamu,Giant Trevally,Caranx ignobilis,2010/2011,2011,395,3301,33,7,56.4,,
Shimoni,Giant Trevally,Caranx ignobilis,2010/2011,2011,0,0,0,7,0.0,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2010/2011,2011,4,36,0,7,0.6,,
Kilifi,Giant Trevally,Caranx ignobilis,2010/2011,2011,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2010/2011,2011,5,60,0,7,0.7,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2011/2012,2012,100,2095,71,7,14.3,,
Watamu,Giant Trevally,Caranx ignobilis,2011/2012,2012,80,1553,40,7,11.4,,
Shimoni,Giant Trevally,Caranx ignobilis,2011/2012,2012,0,0,0,7,0.0,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2011/2012,2012,9,72,0,7,1.3,,
Kilifi,Giant Trevally,Caranx ignobilis,2011/2012,2012,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2011/2012,2012,22,117,0,7,3.1,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2012/2013,2013,72,1414,51,7,10.3,,
Watamu,Giant Trevally,Caranx ignobilis,2012/2013,2013,27,419,26,7,3.9,,
Shimoni,Giant Trevally,Caranx ignobilis,2012/2013,2013,1,4.5,0,7,0.1,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2012/2013,2013,2,31,1,7,0.3,,
Kilifi,Giant Trevally,Caranx ignobilis,2012/2013,2013,2,12,0,7,0.3,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2012/2013,2013,21,116,0,7,3.0,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2013/2014,2014,44,855,38,7,6.3,,
Watamu,Giant Trevally,Caranx ignobilis,2013/2014,2014,49,428,38,7,7.0,,
Shimoni,Giant Trevally,Caranx ignobilis,2013/2014,2014,2,70,1,7,0.3,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2013/2014,2014,2,20,0,7,0.3,,
Kilifi,Giant Trevally,Caranx ignobilis,2013/2014,2014,3,34,0,7,0.4,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2013/2014,2014,0,0,0,7,0.0,,
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2014/2015,2015,0,0,0,7,0.0,,
Watamu,Giant Trevally,Caranx ignobilis,2014/2015,2015,26,46,16,7,3.7,,
Shimoni,Giant Trevally,Caranx ignobilis,2014/2015,2015,0,0,0,7,0.0,,
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2014/2015,2015,39,0,0,7,5.6,,
Kilifi,Giant Trevally,Caranx ignobilis,2014/2015,2015,0,0,0,7,0.0,,
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2014/2015,2015,6,14,0,7,0.9,,
Malindi & Ngomeni,Giant Trevally,Sphyrnidae,1990/1991,1991,1,38,0,7,0.1,,
Watamu,Hammerhead shark,Sphyrnidae,1990/1991,1991,0,0,0,7,0.0,,
Shimoni,Hammerhead shark,Sphyrnidae,1990/1991,1991,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1990/1991,1991,2,42,0,7,0.3,,
Kilifi,Hammerhead shark,Sphyrnidae,1990/1991,1991,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1990/1991,1991,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1991/1992,1992,3,97.1,0,7,0.4,,
Watamu,Hammerhead shark,Sphyrnidae,1991/1992,1992,6,319.5,0,7,0.9,,
Shimoni,Hammerhead shark,Sphyrnidae,1991/1992,1992,1,173,0,7,0.1,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1991/1992,1992,7,192,0,7,1.0,,
Kilifi,Hammerhead shark,Sphyrnidae,1991/1992,1992,4,203,0,7,0.6,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1991/1992,1992,1,109,0,7,0.1,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1992/1993,1993,3,88.7,0,7,0.4,,
Watamu,Hammerhead shark,Sphyrnidae,1992/1993,1993,7,260,0,7,1.0,,
Shimoni,Hammerhead shark,Sphyrnidae,1992/1993,1993,1,160,0,7,0.1,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1992/1993,1993,3,110,0,7,0.4,,
Kilifi,Hammerhead shark,Sphyrnidae,1992/1993,1993,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1992/1993,1993,2,30,0,7,0.3,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1993/1994,1994,7,402.4,0,7,1.0,,
Watamu,Hammerhead shark,Sphyrnidae,1993/1994,1994,6,398.5,0,7,0.9,,
Shimoni,Hammerhead shark,Sphyrnidae,1993/1994,1994,2,192.4,0,7,0.3,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1993/1994,1994,2,44,0,7,0.3,,
Kilifi,Hammerhead shark,Sphyrnidae,1993/1994,1994,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1993/1994,1994,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1994/1995,1995,5,139,0,7,0.7,,
Watamu,Hammerhead shark,Sphyrnidae,1994/1995,1995,8,119,0,7,1.1,,
Shimoni,Hammerhead shark,Sphyrnidae,1994/1995,1995,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1994/1995,1995,3,72,0,7,0.4,,
Kilifi,Hammerhead shark,Sphyrnidae,1994/1995,1995,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1994/1995,1995,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1995/1996,1996,3,110,0,7,0.4,,
Watamu,Hammerhead shark,Sphyrnidae,1995/1996,1996,6,195,2,7,0.9,,
Shimoni,Hammerhead shark,Sphyrnidae,1995/1996,1996,4,289,0,7,0.6,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1995/1996,1996,5,385,0,7,0.7,,
Kilifi,Hammerhead shark,Sphyrnidae,1995/1996,1996,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1995/1996,1996,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1996/1997,1997,11,681,0,7,1.6,,
Watamu,Hammerhead shark,Sphyrnidae,1996/1997,1997,11,112,7,7,1.6,,
Shimoni,Hammerhead shark,Sphyrnidae,1996/1997,1997,1,273,0,7,0.1,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1996/1997,1997,6,190,1,7,0.9,,
Kilifi,Hammerhead shark,Sphyrnidae,1996/1997,1997,3,83,0,7,0.4,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1996/1997,1997,1,39,0,7,0.1,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1997/1998,1998,5,109.2,1,7,0.7,,
Watamu,Hammerhead shark,Sphyrnidae,1997/1998,1998,5,142,3,7,0.7,,
Shimoni,Hammerhead shark,Sphyrnidae,1997/1998,1998,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1997/1998,1998,4,96,0,7,0.6,,
Kilifi,Hammerhead shark,Sphyrnidae,1997/1998,1998,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1997/1998,1998,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1998/1999,1999,1,110,0,7,0.1,,
Watamu,Hammerhead shark,Sphyrnidae,1998/1999,1999,4,117,1,7,0.6,,
Shimoni,Hammerhead shark,Sphyrnidae,1998/1999,1999,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1998/1999,1999,4,195,0,7,0.6,,
Kilifi,Hammerhead shark,Sphyrnidae,1998/1999,1999,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1998/1999,1999,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1999/2000,2000,3,175.5,0,7,0.4,,
Watamu,Hammerhead shark,Sphyrnidae,1999/2000,2000,0,0,0,7,0.0,,
Shimoni,Hammerhead shark,Sphyrnidae,1999/2000,2000,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1999/2000,2000,0,0,0,7,0.0,,
Kilifi,Hammerhead shark,Sphyrnidae,1999/2000,2000,1,25,0,7,0.1,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1999/2000,2000,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2000/2001,2001,7,386,5,7,1.0,,
Watamu,Hammerhead shark,Sphyrnidae,2000/2001,2001,6,150,4,7,0.9,,
Shimoni,Hammerhead shark,Sphyrnidae,2000/2001,2001,1,113,1,7,0.1,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2000/2001,2001,1,25,0,7,0.1,,
Kilifi,Hammerhead shark,Sphyrnidae,2000/2001,2001,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2000/2001,2001,2,115,0,7,0.3,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2001/2002,2002,0,0,0,7,0.0,,
Watamu,Hammerhead shark,Sphyrnidae,2001/2002,2002,5,0,5,7,0.7,,
Shimoni,Hammerhead shark,Sphyrnidae,2001/2002,2002,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2001/2002,2002,1,20,1,7,0.1,,
Kilifi,Hammerhead shark,Sphyrnidae,2001/2002,2002,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2001/2002,2002,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2002/2003,2003,5,216,2,7,0.7,,
Watamu,Hammerhead shark,Sphyrnidae,2002/2003,2003,2,120,1,7,0.3,,
Shimoni,Hammerhead shark,Sphyrnidae,2002/2003,2003,1,113,1,7,0.1,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2002/2003,2003,0,0,0,7,0.0,,
Kilifi,Hammerhead shark,Sphyrnidae,2002/2003,2003,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2002/2003,2003,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2003/2004,2004,4,115,2,7,0.6,,
Watamu,Hammerhead shark,Sphyrnidae,2003/2004,2004,6,451,6,7,0.9,,
Shimoni,Hammerhead shark,Sphyrnidae,2003/2004,2004,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2003/2004,2004,3,100,1,7,0.4,,
Kilifi,Hammerhead shark,Sphyrnidae,2003/2004,2004,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2003/2004,2004,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2004/2005,2005,4,191,3,7,0.6,,
Watamu,Hammerhead shark,Sphyrnidae,2004/2005,2005,3,80,3,7,0.4,,
Shimoni,Hammerhead shark,Sphyrnidae,2004/2005,2005,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2004/2005,2005,0,0,0,7,0.0,,
Kilifi,Hammerhead shark,Sphyrnidae,2004/2005,2005,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2004/2005,2005,1,12,0,7,0.1,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2005/2006,2006,0,0,0,7,0.0,,
Watamu,Hammerhead shark,Sphyrnidae,2005/2006,2006,1,28,1,7,0.1,,
Shimoni,Hammerhead shark,Sphyrnidae,2005/2006,2006,0,0,0,7,0.0,,
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2005/2006,2006,0,0,0,7,0.0,,
Kilifi,Hammerhead shark,Sphyrnidae,2005/2006,2006,0,0,0,7,0.0,,
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2005/2006,2006,0,0,0,7,0.0,,
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2006/2007,2007,7,244.5,5,7,1.0,,
Watamu,Hammerhead shark,Sphyrnidae,2006/2007,2007,7,538,6,7,1.0,,
Shimoni,Hammerhead shark,Sphyrnidae,2006/2007,2007,0,0,0,7,0.0,,
