zone,fish_type,species,season,year,number_of_boated_catch,weight_in_kgs,tagged_fish,hours,cpue,released_weight_weight_boated,calculated_length,wrong_entry,average_weight,release_weight
Watamu,Sailfish,Istiophorus platypterus,1998/1999,1999,915,6740,709,7,130.7,,,no,7.37,5225
Shimoni,Sailfish,Istiophorus platypterus,1998/1999,1999,201,1413,189,7,28.7,,,no,7.03,1328
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1998/1999,1999,105,2180,20,7,15,,,no,20.76,415
Kilifi,Sailfish,Istiophorus platypterus,1998/1999,1999,127,1222,81,7,18.1,,,no,9.62,779
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1998/1999,1999,56,16,55,7,8,,,no,0.29,15
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,1999/2000,2000,828,37572.7,720,7,118.3,,,no,45.38,32673
Watamu,Sailfish,Istiophorus platypterus,1999/2000,2000,1584,18061,1058,7,226.3,,,no,11.4,12061
Shimoni,Sailfish,Istiophorus platypterus,1999/2000,2000,354,360,338,7,50.6,,,no,1.02,344
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,1999/2000,2000,216,2302,117,7,30.9,,,no,10.66,1247
Kilifi,Sailfish,Istiophorus platypterus,1999/2000,2000,87,1292,62,7,12.4,,,no,14.85,920
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,1999/2000,2000,127,3156,122,7,18.1,,,no,24.85,3031
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2000/2001,2001,1955,49406,974,7,279.3,,,no,25.27,24612
Watamu,Sailfish,Istiophorus platypterus,2000/2001,2001,1015,5599,885,7,145,,,no,5.52,4885
Shimoni,Sailfish,Istiophorus platypterus,2000/2001,2001,120,3701,107,7,17.1,,,no,30.84,3299
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2000/2001,2001,59,1583,20,7,8.4,,,no,26.83,536
Kilifi,Sailfish,Istiophorus platypterus,2000/2001,2001,48,285,30,7,6.9,,,no,5.94,178
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2001/2002,2002,564,15243,311,7,80.6,,,no,27.03,8406
Watamu,Sailfish,Istiophorus platypterus,2001/2002,2002,460,1713,393,7,65.7,,,no,3.72,1461
Shimoni,Sailfish,Istiophorus platypterus,2001/2002,2002,58,526,56,7,8.3,,,no,9.07,507
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2001/2002,2002,56,1594,27,7,8,,,no,28.46,768
Kilifi,Sailfish,Istiophorus platypterus,2001/2002,2002,12,104,4,7,1.7,,,no,8.67,34
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2001/2002,2002,202,237,193,7,28.9,,,no,1.17,225
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2002/2003,2003,647,11220,413,7,92.4,,,no,17.34,7161
Watamu,Sailfish,Istiophorus platypterus,2002/2003,2003,448,9918,416,7,64,,,no,22.14,9210
Shimoni,Sailfish,Istiophorus platypterus,2002/2003,2003,27,774,26,7,3.9,,,no,28.67,745
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2002/2003,2003,36,997,21,7,5.1,,,no,27.69,581
Kilifi,Sailfish,Istiophorus platypterus,2002/2003,2003,4,42,2,7,0.6,,,no,10.5,21
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2002/2003,2003,208,95,205,7,29.7,,,no,0.46,94
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2003/2004,2004,990,24753,728,7,141.4,,,no,25,18200
Watamu,Sailfish,Istiophorus platypterus,2003/2004,2004,575,14531.5,510,7,82.1,,,no,25.27,12887
Shimoni,Sailfish,Istiophorus platypterus,2003/2004,2004,59,876,56,7,8.4,,,no,14.85,831
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2003/2004,2004,59,1215.9,38,7,8.4,,,no,20.61,783
Kilifi,Sailfish,Istiophorus platypterus,2003/2004,2004,36,884,32,7,5.1,,,no,24.56,785
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2003/2004,2004,81,47,79,7,11.6,,,no,0.58,45
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2004/2005,2005,1072,28446.5,898,7,153.1,,,no,26.54,23832
Watamu,Sailfish,Istiophorus platypterus,2004/2005,2005,1143,29236.5,1063,7,163.3,,,no,25.58,27191
Shimoni,Sailfish,Istiophorus platypterus,2004/2005,2005,106,2764,105,7,15.1,,,no,26.08,2738
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2004/2005,2005,101,2603,66,7,14.4,,,no,25.77,1700
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2004/2005,2005,174,4320,170,7,24.9,,,no,24.83,4221
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2005/2006,2006,1263,2114,1056,7,180.4,,,no,1.67,1763
Watamu,Sailfish,Istiophorus platypterus,2005/2006,2006,1229,25744.5,1151,7,175.6,,,no,20.95,24113
Shimoni,Sailfish,Istiophorus platypterus,2005/2006,2006,37,974.3,37,7,5.3,,,no,26.33,974
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2005/2006,2006,56,1330.1,46,7,8,,,no,23.75,1092
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2006/2007,2007,934,26564.5,716,7,133.4,,,no,28.44,20363
Watamu,Sailfish,Istiophorus platypterus,2006/2007,2007,812,20019.5,728,7,116,,,no,24.65,17945
Shimoni,Sailfish,Istiophorus platypterus,2006/2007,2007,90,2209.1,88,7,12.9,,,no,24.55,2160
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2006/2007,2007,17,253.5,8,7,2.4,,,no,14.91,119
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2007/2008,2008,1699,46035,1394,7,242.7,,,no,27.1,37777
Watamu,Sailfish,Istiophorus platypterus,2007/2008,2008,1625,41812,1570,7,232.1,,,no,25.73,40396
Shimoni,Sailfish,Istiophorus platypterus,2007/2008,2008,146,3740,141,7,20.9,,,no,25.62,3612
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2007/2008,2008,354,1038,349,7,50.6,,,no,2.93,1022
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2008/2009,2009,2993,86914,2342,7,427.6,,,no,29.04,68011
Watamu,Sailfish,Istiophorus platypterus,2008/2009,2009,3496,87462,3281,7,499.4,,,no,25.02,82090
Shimoni,Sailfish,Istiophorus platypterus,2008/2009,2009,130,3114.5,129,7,18.6,,,no,23.96,3090
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2008/2009,2009,98,3077,79,7,14,,,no,31.4,2480
Kilifi,Sailfish,Istiophorus platypterus,2008/2009,2009,32,828.3,0,7,4.6,,,no,25.88,0
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2008/2009,2009,158,4108,156,7,22.6,,,no,26,4056
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2009/2010,2010,2507,53527,1495,7,358.1,,,no,21.35,31918
Watamu,Sailfish,Istiophorus platypterus,2009/2010,2010,3496,87462,3281,7,499.4,,,no,25.02,82090
Shimoni,Sailfish,Istiophorus platypterus,2009/2010,2010,74,1692.8,73,7,10.6,,,no,22.88,1670
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2009/2010,2010,87,1815,78,7,12.4,,,no,20.86,1627
Kilifi,Sailfish,Istiophorus platypterus,2009/2010,2010,176,4188,176,7,25.1,,,no,23.8,4188
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2009/2010,2010,172,615,134,7,24.6,,,no,3.58,479
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2010/2011,2011,2570,53527,1495,7,367.1,,,no,20.83,31140
Watamu,Sailfish,Istiophorus platypterus,2010/2011,2011,2490,35046,2103,7,355.7,,,no,14.07,29589
Shimoni,Sailfish,Istiophorus platypterus,2010/2011,2011,74,1692.8,73,7,10.6,,,no,22.88,1670
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2010/2011,2011,87,1815,78,7,12.4,,,no,20.86,1627
Kilifi,Sailfish,Istiophorus platypterus,2010/2011,2011,176,4188,163,7,25.1,,,no,23.8,3879
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2010/2011,2011,172,615,134,7,24.6,,,no,3.58,479
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2011/2012,2012,1280,35222,967,7,182.9,,,no,27.52,26611
Watamu,Sailfish,Istiophorus platypterus,2011/2012,2012,1195,24879,1057,7,170.7,,,no,20.82,22006
Shimoni,Sailfish,Istiophorus platypterus,2011/2012,2012,141,2516,86,7,20.1,,,no,17.84,1534
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2011/2012,2012,42,1235,37,7,6,,,no,29.4,1087
Kilifi,Sailfish,Istiophorus platypterus,2011/2012,2012,64,1590,62,7,9.1,,,no,24.84,1540
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2011/2012,2012,278,6392,277,7,39.7,,,no,22.99,6368
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2012/2013,2013,1104,30625,720,7,157.7,,,no,27.74,19972
Watamu,Sailfish,Istiophorus platypterus,2012/2013,2013,1074,18330,948,7,153.4,,,no,17.07,16182
Shimoni,Sailfish,Istiophorus platypterus,2012/2013,2013,94,3536,88,7,13.4,,,no,37.62,3310
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2012/2013,2013,47,183,34,7,6.7,,,no,3.89,132
Kilifi,Sailfish,Istiophorus platypterus,2012/2013,2013,44,397.3,31,7,6.3,,,no,9.03,279
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2012/2013,2013,27,200,27,7,3.9,,,no,7.41,200
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2013/2014,2014,457,11415,341,7,65.3,,,no,24.98,8518
Watamu,Sailfish,Istiophorus platypterus,2013/2014,2014,360,5312,275,7,51.4,,,no,14.76,4059
Shimoni,Sailfish,Istiophorus platypterus,2013/2014,2014,43,1329,38,7,6.1,,,no,30.91,1174
Kilifi,Sailfish,Istiophorus platypterus,2013/2014,2014,31,775,31,7,4.4,,,no,25,775
Malindi & Ngomeni,Sailfish,Istiophorus platypterus,2014/2015,2015,298,475,221,7,42.6,,,no,1.59,351
Watamu,Sailfish,Istiophorus platypterus,2014/2015,2015,177,2131,158,7,25.3,,,no,12.04,1902
Shimoni,Sailfish,Istiophorus platypterus,2014/2015,2015,6,320,5,7,0.9,,,no,53.33,266
Mtwapa & Mombasa,Sailfish,Istiophorus platypterus,2014/2015,2015,102,132,31,7,14.6,,,no,1.29,39
Kilifi,Sailfish,Istiophorus platypterus,2014/2015,2015,22,563,18,7,3.1,,,no,25.59,460
Lamu & Kiwayu,Sailfish,Istiophorus platypterus,2014/2015,2015,15,52,14,7,2.1,,,no,3.47,48
Malindi & Ngomeni,Sailfish,Kajikia audax,1990/1991,1991,28,1175,0,7,4,,,no,41.96,0
Watamu,Striped Marlin,Kajikia audax,1990/1991,1991,66,3014,0,7,9.4,,,no,45.67,0
Shimoni,Striped Marlin,Kajikia audax,1990/1991,1991,63,3294,0,7,9,,,no,52.29,0
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1990/1991,1991,34,1471,0,7,4.9,,,no,43.26,0
Kilifi,Striped Marlin,Kajikia audax,1990/1991,1991,9,428,0,7,1.3,,,no,47.56,0
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1991/1992,1992,71,4570.9,18,7,10.1,,,no,64.38,1158
Watamu,Striped Marlin,Kajikia audax,1991/1992,1992,77,4094,60,7,11,,,no,53.17,3190
Shimoni,Striped Marlin,Kajikia audax,1991/1992,1992,100,5768,7,7,14.3,,,no,57.68,403
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1991/1992,1992,46,2350,1,7,6.6,,,no,51.09,51
Kilifi,Striped Marlin,Kajikia audax,1991/1992,1992,28,1548,0,7,4,,,no,55.29,0
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1992/1993,1993,50,2534.7,20,7,7.1,,,no,50.69,1013
Watamu,Striped Marlin,Kajikia audax,1992/1993,1993,127,3625,62,7,18.1,,,no,28.54,1769
Shimoni,Striped Marlin,Kajikia audax,1992/1993,1993,142,5921,45,7,20.3,,,no,41.7,1876
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1992/1993,1993,29,1486.9,3,7,4.1,,,no,51.27,153
Kilifi,Striped Marlin,Kajikia audax,1992/1993,1993,16,821,4,7,2.3,,,no,51.31,205
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1992/1993,1993,14,278,5,7,2,,,no,19.86,99
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1993/1994,1994,35,1717,12,7,5,,,no,49.06,588
Watamu,Striped Marlin,Kajikia audax,1993/1994,1994,105,5390,63,7,15,,,no,51.33,3233
Shimoni,Striped Marlin,Kajikia audax,1993/1994,1994,97,5341.1,28,7,13.9,,,no,55.06,1541
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1993/1994,1994,8,278,2,7,1.1,,,no,34.75,69
Kilifi,Striped Marlin,Kajikia audax,1993/1994,1994,10,512.9,5,7,1.4,,,no,51.29,256
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1993/1994,1994,4,70,3,7,0.6,,,no,17.5,52
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1994/1995,1995,37,1389,10,7,5.3,,,no,37.54,375
Watamu,Striped Marlin,Kajikia audax,1994/1995,1995,83,1706,51,7,11.9,,,no,20.55,1048
Shimoni,Striped Marlin,Kajikia audax,1994/1995,1995,94,3988,35,7,13.4,,,no,42.43,1485
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1994/1995,1995,31,1370,3,7,4.4,,,no,44.19,132
Kilifi,Striped Marlin,Kajikia audax,1994/1995,1995,19,908,5,7,2.7,,,no,47.79,238
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1995/1996,1996,79,3842,46,7,11.3,,,no,48.63,2236
Watamu,Striped Marlin,Kajikia audax,1995/1996,1996,199,3256,145,7,28.4,,,no,16.36,2372
Shimoni,Striped Marlin,Kajikia audax,1995/1996,1996,194,11042,132,7,27.7,,,no,56.92,7513
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1995/1996,1996,43,2382,3,7,6.1,,,no,55.4,166
Kilifi,Striped Marlin,Kajikia audax,1995/1996,1996,19,616,0,7,2.7,,,no,32.42,0
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1995/1996,1996,1,60,1,7,0.1,,,no,60,60
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1996/1997,1997,52,2705,27,7,7.4,,,no,52.02,1404
Watamu,Striped Marlin,Kajikia audax,1996/1997,1997,164,2814,129,7,23.4,,,no,17.16,2213
Shimoni,Striped Marlin,Kajikia audax,1996/1997,1997,354,18401,305,7,50.6,,,no,51.98,15853
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1996/1997,1997,43,2240,0,7,6.1,,,no,52.09,0
Kilifi,Striped Marlin,Kajikia audax,1996/1997,1997,15,623,12,7,2.1,,,no,41.53,498
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1996/1997,1997,4,75,3,7,0.6,,,no,18.75,56
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1997/1998,1998,11,540,6,7,1.6,,,no,49.09,294
Watamu,Striped Marlin,Kajikia audax,1997/1998,1998,34,933,20,7,4.9,,,no,27.44,548
Shimoni,Striped Marlin,Kajikia audax,1997/1998,1998,58,2340.5,47,7,8.3,,,no,40.35,1896
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1997/1998,1998,0,61,0,7,0,,,no,,
Kilifi,Striped Marlin,Kajikia audax,1997/1998,1998,1,60,1,7,0.1,,,no,60,60
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1998/1999,1999,62,795,45,7,8.9,,,no,12.82,576
Watamu,Striped Marlin,Kajikia audax,1998/1999,1999,98,751,86,7,14,,,no,7.66,658
Shimoni,Striped Marlin,Kajikia audax,1998/1999,1999,645,11731,606,7,92.1,,,no,18.19,11023
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1998/1999,1999,16,771,2,7,2.3,,,no,48.19,96
Kilifi,Striped Marlin,Kajikia audax,1998/1999,1999,30,588,18,7,4.3,,,no,19.6,352
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1998/1999,1999,3,180,3,7,0.4,,,no,60,180
Malindi & Ngomeni,Striped Marlin,Kajikia audax,1999/2000,2000,44,4151,38,7,6.3,,,no,94.34,3584
Watamu,Striped Marlin,Kajikia audax,1999/2000,2000,71,689,57,7,10.1,,,no,9.7,552
Shimoni,Striped Marlin,Kajikia audax,1999/2000,2000,148,3566,126,7,21.1,,,no,24.09,3035
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,1999/2000,2000,8,414,5,7,1.1,,,no,51.75,258
Kilifi,Striped Marlin,Kajikia audax,1999/2000,2000,11,281,11,7,1.6,,,no,25.55,281
Lamu & Kiwayu,Striped Marlin,Kajikia audax,1999/2000,2000,20,1021,19,7,2.9,,,no,51.05,969
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2000/2001,2001,16,795,9,7,2.3,,,no,49.69,447
Watamu,Striped Marlin,Kajikia audax,2000/2001,2001,18,911,10,7,2.6,,,no,50.61,506
Shimoni,Striped Marlin,Kajikia audax,2000/2001,2001,155,7035,108,7,22.1,,,no,45.39,4902
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2000/2001,2001,8,451,1,7,1.1,,,no,56.38,56
Kilifi,Striped Marlin,Kajikia audax,2000/2001,2001,4,105,1,7,0.6,,,no,26.25,26
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2001/2002,2002,10,681,6,7,1.4,,,no,68.1,408
Watamu,Striped Marlin,Kajikia audax,2001/2002,2002,34,143,30,7,4.9,,,no,4.21,126
Shimoni,Striped Marlin,Kajikia audax,2001/2002,2002,128,3691,117,7,18.3,,,no,28.84,3374
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2001/2002,2002,7,190,4,7,1,,,no,27.14,108
Kilifi,Striped Marlin,Kajikia audax,2001/2002,2002,2,104,1,7,0.3,,,no,52,52
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2002/2003,2003,9,497,9,7,1.3,,,no,55.22,496
Watamu,Striped Marlin,Kajikia audax,2002/2003,2003,6,500,6,7,0.9,,,no,83.33,499
Shimoni,Striped Marlin,Kajikia audax,2002/2003,2003,50,2993,49,7,7.1,,,no,59.86,2933
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2002/2003,2003,7,160,4,7,1,,,no,22.86,91
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2003/2004,2004,12,643,10,7,1.7,,,no,53.58,535
Watamu,Striped Marlin,Kajikia audax,2003/2004,2004,11,616,10,7,1.6,,,no,56,560
Shimoni,Striped Marlin,Kajikia audax,2003/2004,2004,160,5142,152,7,22.9,,,no,32.14,4885
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2003/2004,2004,10,486,6,7,1.4,,,no,48.6,291
Kilifi,Striped Marlin,Kajikia audax,2003/2004,2004,1,50,1,7,0.1,,,no,50,50
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2004/2005,2005,21,1260,19,7,3,,,no,60,1140
Watamu,Striped Marlin,Kajikia audax,2004/2005,2005,28,1790,28,7,4,,,no,63.93,1790
Shimoni,Striped Marlin,Kajikia audax,2004/2005,2005,98,5537,96,7,14,,,no,56.5,5424
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2004/2005,2005,3,181,1,7,0.4,,,no,60.33,60
Lamu & Kiwayu,Striped Marlin,Kajikia audax,2004/2005,2005,11,553.5,10,7,1.6,,,no,50.32,503
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2005/2006,2006,12,80,12,7,1.7,,,no,6.67,80
Watamu,Striped Marlin,Kajikia audax,2005/2006,2006,27,1142,26,7,3.9,,,no,42.3,1099
Shimoni,Striped Marlin,Kajikia audax,2005/2006,2006,47,2889.6,44,7,6.7,,,no,61.48,2705
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2005/2006,2006,8,55,8,7,1.1,,,no,6.88,55
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2006/2007,2007,38,2260.5,28,7,5.4,,,no,59.49,1665
Watamu,Striped Marlin,Kajikia audax,2006/2007,2007,77,5193,73,7,11,,,no,67.44,4923
Shimoni,Striped Marlin,Kajikia audax,2006/2007,2007,65,3821.1,63,7,9.3,,,no,58.79,3703
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2007/2008,2008,34,1580,31,7,4.9,,,no,46.47,1440
Watamu,Striped Marlin,Kajikia audax,2007/2008,2008,30,1920,30,7,4.3,,,no,64,1920
Shimoni,Striped Marlin,Kajikia audax,2007/2008,2008,47,2780.9,45,7,6.7,,,no,59.17,2662
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2008/2009,2009,113,6310,96,7,16.1,,,no,55.84,5360
Watamu,Striped Marlin,Kajikia audax,2008/2009,2009,249,14300,241,7,35.6,,,no,57.43,13840
Shimoni,Striped Marlin,Kajikia audax,2008/2009,2009,38,2252,37,7,5.4,,,no,59.26,2192
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2008/2009,2009,14,795,13,7,2,,,no,56.79,738
Kilifi,Striped Marlin,Kajikia audax,2008/2009,2009,1,70,0,7,0.1,,,no,70,0
Lamu & Kiwayu,Striped Marlin,Kajikia audax,2008/2009,2009,2,100,2,7,0.3,,,no,50,100
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2009/2010,2010,266,12787,217,7,38,,,no,48.07,10431
Watamu,Striped Marlin,Kajikia audax,2009/2010,2010,249,14300,241,7,35.6,,,no,57.43,13840
Shimoni,Striped Marlin,Kajikia audax,2009/2010,2010,66,2711.9,64,7,9.4,,,no,41.09,2629
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2009/2010,2010,41,2344,41,7,5.9,,,no,57.17,2343
Kilifi,Striped Marlin,Kajikia audax,2009/2010,2010,38,1900,38,7,5.4,,,no,50,1900
Lamu & Kiwayu,Striped Marlin,Kajikia audax,2009/2010,2010,32,173,5,7,4.6,,,no,5.41,27
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2010/2011,2011,266,12787,217,7,38,,,no,48.07,10431
Watamu,Striped Marlin,Kajikia audax,2010/2011,2011,612,15575,487,7,87.4,,,no,25.45,12394
Shimoni,Striped Marlin,Kajikia audax,2010/2011,2011,66,2711.9,64,7,9.4,,,no,41.09,2629
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2010/2011,2011,41,2344,39,7,5.9,,,no,57.17,2229
Kilifi,Striped Marlin,Kajikia audax,2010/2011,2011,38,1900,38,7,5.4,,,no,50,1900
Lamu & Kiwayu,Striped Marlin,Kajikia audax,2010/2011,2011,32,173,5,7,4.6,,,no,5.41,27
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2011/2012,2012,107,6188,97,7,15.3,,,no,57.83,5609
Watamu,Striped Marlin,Kajikia audax,2011/2012,2012,182,13850,177,7,26,,,no,76.1,13469
Shimoni,Striped Marlin,Kajikia audax,2011/2012,2012,77,4779,76,7,11,,,no,62.06,4716
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2011/2012,2012,7,398,4,7,1,,,no,56.86,227
Kilifi,Striped Marlin,Kajikia audax,2011/2012,2012,11,543,10,7,1.6,,,no,49.36,493
Lamu & Kiwayu,Striped Marlin,Kajikia audax,2011/2012,2012,7,423,7,7,1,,,no,60.43,423
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2012/2013,2013,46,2219,41,7,6.6,,,no,48.24,1977
Watamu,Striped Marlin,Kajikia audax,2012/2013,2013,82,2337,74,7,11.7,,,no,28.5,2109
Shimoni,Striped Marlin,Kajikia audax,2012/2013,2013,52,5029,48,7,7.4,,,no,96.71,4642
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2012/2013,2013,6,120,5,7,0.9,,,no,20,100
Malindi & Ngomeni,Striped Marlin,Kajikia audax,2013/2014,2014,27,1280,27,7,3.9,,,no,47.41,1280
Watamu,Striped Marlin,Kajikia audax,2013/2014,2014,67,2149,59,7,9.6,,,no,32.07,1892
Shimoni,Striped Marlin,Kajikia audax,2013/2014,2014,86,5557,76,7,12.3,,,no,64.62,4911
Kilifi,Striped Marlin,Kajikia audax,2013/2014,2014,4,300,4,7,0.6,,,no,75,300
Watamu,Striped Marlin,Kajikia audax,2014/2015,2015,19,110,18,7,2.7,,,no,5.79,104
Shimoni,Striped Marlin,Kajikia audax,2014/2015,2015,20,1250,9,7,2.9,,,no,62.5,562
Mtwapa & Mombasa,Striped Marlin,Kajikia audax,2014/2015,2015,10,120,6,7,1.4,,,no,12,72
Shimoni,Tiger Shark,Galeocerdo cuvier,1990/1991,1991,3,474,0,7,0.4,,,no,158,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1991/1992,1992,9,1904,0,7,1.3,,,no,211.56,0
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,1992/1993,1993,2,180,0,7,0.3,,,no,90,0
Watamu,Tiger Shark,Galeocerdo cuvier,1992/1993,1993,3,219,0,7,0.4,,,no,73,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1992/1993,1993,7,1243,0,7,1,,,no,177.57,0
Watamu,Tiger Shark,Galeocerdo cuvier,1993/1994,1994,1,172.5,0,7,0.1,,,no,172.5,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1993/1994,1994,3,391,0,7,0.4,,,no,130.33,0
Mtwapa & Mombasa,Tiger Shark,Galeocerdo cuvier,1993/1994,1994,1,135,0,7,0.1,,,no,135,0
Watamu,Tiger Shark,Galeocerdo cuvier,1994/1995,1995,1,250,0,7,0.1,,,no,250,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1994/1995,1995,3,547,0,7,0.4,,,no,182.33,0
Watamu,Tiger Shark,Galeocerdo cuvier,1995/1996,1996,1,68,0,7,0.1,,,no,68,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1995/1996,1996,4,638,0,7,0.6,,,no,159.5,0
Watamu,Tiger Shark,Galeocerdo cuvier,1996/1997,1997,3,560,0,7,0.4,,,no,186.67,0
Shimoni,Tiger Shark,Galeocerdo cuvier,1996/1997,1997,1,190,0,7,0.1,,,no,190,0
Watamu,Tiger Shark,Galeocerdo cuvier,1999/2000,2000,3,326,2,7,0.4,,,no,108.67,217
Shimoni,Tiger Shark,Galeocerdo cuvier,1999/2000,2000,2,440,0,7,0.3,,,no,220,0
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,2000/2001,2001,3,866,0,7,0.4,,,no,288.67,0
Watamu,Tiger Shark,Galeocerdo cuvier,2000/2001,2001,1,320,0,7,0.1,,,no,320,0
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,2001/2002,2002,9,2456,0,7,1.3,,,no,272.89,0
Watamu,Tiger Shark,Galeocerdo cuvier,2001/2002,2002,16,1786,10,7,2.3,,,no,111.62,1116
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,2002/2003,2003,29,6698,20,7,4.1,,,no,230.97,4619
Watamu,Tiger Shark,Galeocerdo cuvier,2002/2003,2003,42,16355,38,7,6,,,no,389.4,14797
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,2003/2004,2004,107,27085,103,7,15.3,,,no,253.13,26072
Watamu,Tiger Shark,Galeocerdo cuvier,2003/2004,2004,50,19525,42,7,7.1,,,no,390.5,16401
Kilifi,Tiger Shark,Galeocerdo cuvier,2003/2004,2004,2,521,0,7,0.3,,,no,260.5,0
Malindi & Ngomeni,Tiger Shark,Galeocerdo cuvier,2004/2005,2005,25,6683.5,24,7,3.6,,,no,267.34,6416
